tweet_id,text,place,polarity
1240728065983959040,"#statewaterheaters #getitin #corona #keepingpeoplesafe #plumber #pickeringtonohio new water heater swap out @ Pickerington, Ohio https://t.co/fMcPtH88m4","Pickerington, OH",0.13636363636363635
1240728187136610306,"""ain't no humans outside! (corona!)"" 😂😂😂🤣 @ Cleveland, Ohio https://t.co/1i7cIsrITb","Cleveland, OH",0.0
1240728221986906113,"Salam Friends
Looking at the grave financial situation of middle &amp; lower class household in Karachi developed due to Corona threat, we are planning to take some initiative.
Ideas required… https://t.co/uC60hpxYDj","Karachi, Pakistan",-0.0062499999999999995
1240728361556750338,"Thanks to COVID19 we are under unprecedented levels of stress. Thanks to corona, my Seanie was denied boarding in Paris before heading to Abidjan on 10-week contract. He unexpectedly… https://t.co/M1yzRvLftL","Walkerville, South Africa",0.275
1240728639358017536,"#tbt to the current #anime that I'm rewatching with the #corona threat keeping us home 

#codegeass #lelouchoftherebellion 
On @netflix 

#theyze #Wolf #africa @ Africa https://t.co/5rdBOhrRSq","Likouala, Congo",0.0
1240728647524323338,"@LHdeepMusic play my track ""Baby It’s For Life"" live from their Marseille balcony. That crazy ! Thanks for your support my brothers ❤️ -  #corona #support #music #france #marseille #dj #producer #baby #house à… https://t.co/S6U9AwVKjH","Marseille, France",-0.13787878787878788
1240728942664794112,"current weather in Corona: moderate rain, 56°F
71% humidity, wind 3mph, pressure 1019mb","Corona, CA",0.0
1240728970368253953,#lockdowndatenight There’s no one I’d rather be on quarantine with @thinkingofjack 🔥We got dolled up for a night on the #redcarpet (actually Christmas wrapping) and dinner at Che Corona (our kitchen). We were even… https://t.co/BmTSNHXkNw,"Valencia, Spain",0.0
1240729290427248645,"Four-Pinter from @townstreettap and #pizza from whitehartduffield 

Big night in #duffield style

#useitorloseit #corona @ Duffield, Derby, United Kingdom https://t.co/w37ADi47wG","East Midlands, England",0.0
1240729372363014147,"Quarantine 🏓 training ! Adding some kicks 💥. 
•
•
• 
•
•
•
•
•
•
• 
•
•

•
•
•
•
• 
•
•
•
•
•
•
• 
•
•

#pingpong  #tabletennis #fun #pingponggirl #paddle #training #player #quarantine #corona #style #skills #sport… https://t.co/GFxT67hiGR","Los Angeles, CA",0.3
1240729785883639808,"Message on the beach.
.
.
.
.
.
#telaviv #coronavirus #beach #nature #corona @ Tel Aviv, Israel https://t.co/7Rb8o9zqv0",Israel,0.0
1240729879525679105,"WASH YOUR F***ING HANDS !!! 🤬
🧼
🦠
🧼
🦠
🧼

#Covid #COVID19 #Curacao #Curadise #pandemic #virus #samebutdifferent #views #epidemic #corona #Coronavirus #Curaçao #Ydk #korsou  #abcislandphotographers #mood #crisis… https://t.co/akdSYIZLTv",Curaçao,0.0
1240731018220404736,#quarantine #stockpiling #food #sexylatino #latindancer #hombre #hotguy #shirtlessguys  I’ve eaten 2 weeks of grocery’s in 2 days #corona #coronamemes #funnyvideos #gaysofinstagram #gayjock #gaycomics #standupcomedy… https://t.co/m6lFRUqI6X,"Los Angeles, CA",0.0
1240731410614358021,"You know you got a good friend when they send this kind of care package #2020 #corona #covid-19 #thisOurLifeNow #reefer @ Beverly Hills, California https://t.co/GLAXykLEna","Beverly Hills, CA",0.6499999999999999
1240732013029502981,"How’s My Quarantine Going You Ask??? Well... Let these jackharlow vibes explain. •
•
•
•
#jackharlow #oncemaycomes #jaydn #sol #tiktok #tiktokdance #corona #quarantine #happy #positivevibes #dance #joy #vibes… https://t.co/rksF1OHUzm","Kentucky, USA",0.8
1240732830411501568,"The rarest diamonds on planet Earth. The pink diamond 💕 We have one more day of shopping. Online? Email us at customerservice@cardow.com 
#virginislands #usvi #love #pink #pinkdiamond #corona #sale @ Saint Thomas, US… https://t.co/8yOpbCcVXb","Charlotte Amalie, Virgin Islands",0.2
1240732896958115841,Well one positive thing about this Corona Virus ... is that I get more time to work on my Dance Movessssssssss 🕺🏿😭😂  Huge shout out to those who came out to see us this season “ we are glad you came “  ... Huge… https://t.co/YNvontO3uy,"Dracut, MA",0.4054545454545455
1240733109584347136,"Quarantine Boredom? READ COMICS
DEAD WRONG page 13!
Quell your fears about the corona virus by reading a comic about a ZOMBIE VIRUS! Maybe they’ll cancel out?
And help support the comic and other art  endeavors by… https://t.co/N5rXmccSoZ","Hialeah, FL",-0.07749999999999999
1240733265461272578,"Be back soon my friends #corona #cov19 #notMyVirus #quarantinefitness @ Chicago, Illinois https://t.co/prYeXugvgZ","Chicago, IL",0.0
1240733301633146883,"Here’s a smile because I feel like we need it! ⠀
⠀
Crazy to think this was less than two weeks ago and the words “Corona Virus” were in the air but never did I expect it to get this crazy! ⠀
⠀
I hope everyone is… https://t.co/ngimPeP5q6","New York, USA",-0.28541666666666665
1240733408051056641,"ALBUM ALERT🚨  

With the wrath of corona causing people to self isolate, My new album brings you the best bangers to get you through this time. Stay safe and enjoy good music🙏🏽
 Releasing worldwide on the… https://t.co/mvA1gYcOZW","Manchester, England",0.5472727272727272
1240733600850382849,Don’t cut your own fringes either 😂😂 I’m feeling much better and will hopefully be back at work soon #fringe #fringebangs #haircut #corona #virus #backtowork #joke #jokes #laugh #brightside @ Mango Hair Design  07957… https://t.co/gM7JPcQiRu,"Leeds, England",0.35000000000000003
1240733803053711364,Many ask us how they can support us during all this Corona Virus craziness.   We are putting together online many options and remember deliveries are available as well. @ Cao Chocolates https://t.co/UcoxTNSDk7,"Kendall, FL",0.4666666666666666
1240733998923550724,Lunch #searchingfornormalcy #corona @ SLICE New York Pizza - Towson https://t.co/AZZ9AYjDM0,"Towson, MD",0.13636363636363635
1240734107090456576,BenG at UCLA medical center ER getting stitches. At least it’s not the corona virus like some of these other people here have. They have temporary Er triage tents in the parking garage with portable hand washing… https://t.co/ONlO2Vhybj,"Santa Monica, CA",-0.13125
1240734141861244940,"Me and my main man @PastorChrisHill will be going live at 7pm est talkin Corona, church, people, life all of it! You want to tune in! We will be answering questions! We got to do something since we are all@locked@in… https://t.co/ValALQG6W1","Mebane, NC",0.21650094696969696
